Country,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018
Aruba,ABW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,19.61272,22.85499,,,
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,14.46593,12.509,16.2117,15.66138,
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,11.3177,13.59696,7.52363,
Andorra,AND,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.9616,10.17952,9.66894,18.95694,
Arab World,ARB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
United Arab Emirates,ARE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Argentina,ARG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,13.79967,14.03127,13.45118,,
Armenia,ARM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.36712,10.65636,10.1972,,
American Samoa,ASM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Australia,AUS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,13.88297,14.08223,,,
Austria,AUT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,10.41331,10.69743,,,
Azerbaijan,AZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,7.23873,7.63146,8.20115,,
Burundi,BDI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,19.68831,24.21655,20.9095,19.85646,
Belgium,BEL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.01905,12.17238,,,
Benin,BEN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,22.22771,17.47952,18.7914,,
Burkina Faso,BFA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,19.36811,18.02708,,,
Bangladesh,BGD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,11.41942,,
Bulgaria,BGR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Bahrain,BHR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,8.68403,7.29736,7.50266,,
"Bahamas, The",BHS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Belarus,BLR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.40672,11.01362,10.79874,11.0986,
Belize,BLZ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,20.91554,21.15392,19.86944,21.68102,
Bermuda,BMU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,7.79644,9.0188,,7.77347,
Bolivia,BOL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.8421,,,,
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.71933,16.24898,,,
Barbados,BRB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.45106,,14.14039,12.86344,
Brunei Darussalam,BRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.98591,,11.44361,,
Bhutan,BTN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.82422,26.35213,26.18062,24.04098,
Botswana,BWA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Central African Republic,CAF,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Canada,CAN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.27432,11.58267,,,
Switzerland,CHE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.4618,15.52806,,,
Channel Islands,CHI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Chile,CHL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,19.92072,19.59405,21.17977,,
China,CHN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,21.76678,21.17322,21.27839,18.72894,
Cameroon,CMR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.92925,13.24399,12.696,16.41877,
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,10.55392,11.73837,14.80981,10.75813,
"Congo, Rep.",COG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,7.17715,8.583,,,
Colombia,COL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.84515,15.10725,16.11717,15.31722,
Comoros,COM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,18.91154,15.26693,,,
Cabo Verde,CPV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.28219,16.74823,17.84301,16.79426,
Costa Rica,CRI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,23.10953,23.37343,23.4232,30.15142,
Caribbean small states,CSS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,21.79749,20.05148,19.14512,18.40254,
Cuba,CUB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Curacao,CUW,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Cayman Islands,CYM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Cyprus,CYP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.92778,16.27625,,,
Czech Republic,CZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.4578,13.88252,,,
Germany,DEU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.13364,10.97507,,,
Djibouti,DJI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Dominica,DMA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,10.5221,,,
Denmark,DNK,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,13.82682,,,,
Dominican Republic,DOM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Algeria,DZA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.530995,,,,
East Asia & Pacific,EAS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,13.036425,,,,
Europe & Central Asia (excluding high income),ECA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.764035,11.16566,12.6662,,
Europe & Central Asia,ECS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.163095,12.03053,,,
Ecuador,ECU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.06831,12.78786,,,
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Euro area,EMU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.624875,11.62452,,,
Eritrea,ERI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Spain,ESP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.54349,9.77104,,,
Estonia,EST,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,14.25663,12.9666,,,
Ethiopia,ETH,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,25.91838,27.09871,,,
European Union,EUU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.62072,11.8066,,,
Fragile and conflict affected situations,FCS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Finland,FIN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.30714,12.45831,,,
Fiji,FJI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
France,FRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.6625,9.65663,,,
Faroe Islands,FRO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
"Micronesia, Fed. Sts.",FSM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,22.31239,,,
Gabon,GAB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.22549,,,,
United Kingdom,GBR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,13.6662,13.8196,13.91173,,
Georgia,GEO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,12.6662,12.95336,
Ghana,GHA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,20.98514,23.8088,22.09332,20.17011,
Gibraltar,GIB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Guinea,GIN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.98951,11.59878,15.76886,14.37958,
"Gambia, The",GMB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.75232,,10.35779,,
Guinea-Bissau,GNB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Equatorial Guinea,GNQ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Greece,GRC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Grenada,GRD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,42.78863,,
Greenland,GRL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Guatemala,GTM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,21.95939,24.0855,23.43475,23.12414,
Guam,GUM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Guyana,GUY,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,0.01874,0.0178,0.01872,0.01826,
High income,HIC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.88142,12.712455,,,
"Hong Kong SAR, China",HKG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.6204,18.60857,18.12696,17.84128,
Honduras,HND,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,24.64456,22.93573,21.69259,
Heavily indebted poor countries (HIPC),HPC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.2971,17.47952,15.99131,,
Croatia,HRV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Haiti,HTI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,14.44943,13.10925,,
Hungary,HUN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.50568,9.24059,,,
IBRD only,IBD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
IDA & IBRD total,IBT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.11058,16.60156,,,
IDA total,IDA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.70753,16.66499,16.101505,,
IDA blend,IDB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.92925,13.215635,15.062955,,
Indonesia,IDN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.67152,20.5033,,,
IDA only,IDX,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.2971,16.98966,16.101505,,
Isle of Man,IMN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
India,IND,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Not classified,INX,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Ireland,IRL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,13.01969,13.07105,,,
"Iran, Islamic Rep.",IRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,19.66486,18.56875,19.30131,20.04203,
Iraq,IRQ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Iceland,ISL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,18.15801,,,
Israel,ISR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,14.46036,15.04403,,,
Italy,ITA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,8.00604,8.11298,,,
Jamaica,JAM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,21.79749,20.05148,19.14512,18.40254,
Jordan,JOR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,13.47245,11.74613,
Japan,JPN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.09332,,9.13113,,
Kazakhstan,KAZ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,12.19487,13.86935,,
Kenya,KEN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.08103,16.66466,17.33743,16.87441,
Kyrgyz Republic,KGZ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.84819,16.27362,17.44958,18.50447,
Cambodia,KHM,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,9.09353,,,,
Kiribati,KIR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
St. Kitts and Nevis,KNA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,8.6355,,,
"Korea, Rep.",KOR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Kuwait,KWT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Latin America & Caribbean (excluding high income),LAC,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,16.8421,18.126245,18.03695,,
Lao PDR,LAO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.18988,,,,
Lebanon,LBN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
Liberia,LBR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,6.89349,7.22077,7.01118,6.97225,
Libya,LBY,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,
St. Lucia,LCA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.30152,16.52716,22.38194,,
