Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Switzerland,124.51,54.53,88.82,114.81,137.82,210
2,Norway,109.3,40.41,74.17,95.9,136.81,139.78
3,Iceland,95.41,29.04,61.57,88.13,113.07,111.09
4,Us Virgin Islands,93.41,29.12,60.63,88.02,89.26,129.51
5,Australia,89.5,38.66,63.58,82,87,157.97
6,Denmark,88.31,26.33,56.7,71.67,112.78,164.26
7,Singapore,88.12,71.26,79.52,74.3,59.45,117.65
8,United Kingdom,86.68,33.5,59.56,75.1,96.69,133.64
9,Papua New Guinea,86.55,77.16,81.76,86.48,56.67,9.21
10,Kuwait,85.63,36.4,60.53,105.46,51.92,125.33
11,Venezuela,82.81,24.41,53.03,106.44,66.81,21.48
12,Luxembourg,80.81,50.91,65.56,65.3,104.96,153.61
13,New Zealand,79.84,26.72,52.75,75.12,81.64,118.84
14,Ireland,79.71,32.62,55.7,69.99,86.08,137.6
15,South Korea,77.8,34.1,55.52,91.47,48.9,138.27
16,Israel,77.57,24.34,50.42,63.76,89.4,133.59
17,Finland,76.89,23.48,49.65,65.61,86.25,149.42
18,Belgium,76.71,34.06,54.96,65.43,92.35,115.19
19,France,75.85,24.11,49.47,68.55,84.76,132.55
20,Hong Kong,75.03,75,75.02,76.97,58.11,111.81
21,Netherlands,74.43,28,50.75,54.89,92.68,150.57
22,Japan,74.29,26.44,49.89,73.76,50.27,135.77
23,Sweden,73.86,22.95,47.9,65.71,81.61,156.16
24,Canada,73.53,26.96,49.78,74.08,74.13,143.94
25,United States,73.38,31.48,52.01,76.22,69.17,156.46
26,Italy,72.38,20.1,45.72,58.34,86.84,112.63
27,Qatar,71.64,75.87,73.8,61.52,73.36,136.36
28,Ghana,70.7,54.1,62.23,67.79,60.64,18.3
29,Puerto Rico,68.69,16.99,42.33,69.82,63.5,125.9
30,Argentina,68.17,19.07,43.13,56.67,70.5,83.59
31,Austria,68.14,25.3,46.3,62.28,67.86,135.34
32,Germany,65.96,21.2,43.14,51.08,67.54,160.12
33,United Arab Emirates,64.88,62.22,63.52,56.39,66.44,143.8
34,Lebanon,64.02,29.57,46.45,46.2,67.27,74.65
35,Cyprus,63.68,12.41,37.53,54.86,69.41,109.82
36,Belize,62.76,10.68,36.2,56.26,44,195.34
37,Zimbabwe,62.05,16.51,38.83,52.86,57.08,48.45
38,Malta,61.79,17.05,38.98,50.25,72,100.05
39,Uruguay,61.57,16.97,38.83,52.88,65.42,61.71
40,Brunei,60.4,23.67,41.67,59.86,40.78,87.07
41,Costa Rica,59.48,16,37.3,61.2,50.36,70.95
42,Greece,58.92,9.27,33.6,46.81,63.86,83.15
43,Maldives,58.74,26.31,42.2,56.68,42.95,42.09
44,Trinidad And Tobago,57.97,20.13,38.68,57.5,52.92,72
45,Jamaica,57.5,12.23,34.42,54.84,47.16,58.73
46,Spain,56.55,16.1,35.92,43.89,65.94,114.82
47,Jordan,55.73,11.96,33.41,42.08,58.71,56.34
48,Slovenia,55.6,13.7,34.24,45.01,49.18,94.62
49,Oman,54.44,22.96,38.39,46.95,47.41,173.05
50,Taiwan,54.22,13.71,33.56,60.25,28.33,104.72
51,Panama,53.81,26.94,40.11,57.85,41.87,58.34
52,Tanzania,53.58,23.99,38.49,49.13,42.94,62.38
53,Palestinian Territory,53.42,8.6,30.57,44.89,44.53,63.73
54,Dominican Republic,53.25,11.01,31.71,50.4,45.41,37.7
55,Cuba,52.69,12.63,32.27,37.74,32.68,2.36
56,Myanmar,52.5,19.81,35.83,55.56,29.57,37.18
57,Estonia,52.49,12.31,32,38.95,48.37,80
58,Namibia,52.1,18.28,34.85,41.23,50.85,58.52
59,Cambodia,51.34,11.5,31.03,59.76,26.84,19.44
60,Mozambique,50.83,27.87,39.12,43.15,56.99,57.58
61,Portugal,50.55,14.08,31.96,38.66,47.75,87.27
62,Bahrain,50.49,29.52,39.8,45.73,53.73,91.26
63,Honduras,50.04,9.66,29.45,44.18,37.19,78.84
64,Croatia,49.82,8.66,28.83,41.82,41.3,71.44
65,Mauritius,49.71,15.15,32.09,44.03,45.63,91.32
66,Uzbekistan,49.7,12.4,30.68,43.84,36.38,31.19
67,Chile,49.21,13.98,31.25,42.11,43.53,93.76
68,Iraq,48.84,16.57,32.38,38.29,50.38,60.71
69,Nigeria,48.79,22.42,35.34,45.8,46.5,61.73
70,Latvia,48.71,11.79,29.88,36.67,43.21,68.59
71,Saudi Arabia,48.19,12.66,30.07,40.1,34.9,187.4
72,Ethiopia,48.02,17.97,32.7,44.66,25.73,22.6
73,Guatemala,47.63,11.5,29.21,45.55,37.82,51.15
74,Nicaragua,46.9,6.96,26.54,40.16,29.77,46.74
75,China,46.83,19.64,32.96,47.95,34.48,86.93
76,Kazakhstan,46.71,14.42,30.24,36.98,50.57,69.29
77,Brazil,46.71,12.79,29.41,35.23,40.95,56.18
78,Belarus,46.26,13.07,29.34,37.28,61.95,41.64
79,Lithuania,46.09,11.45,28.42,36.08,36.97,64.38
80,El Salvador,45.82,10,27.56,40.21,35.34,42.6
81,Slovakia,45.13,13.27,28.88,39.36,35.71,77.09
82,Fiji,44.83,16.76,30.52,52.77,39.26,47.42
83,Turkey,44.53,9.17,26.5,35.32,36.43,77.61
84,Russia,44.27,19.59,31.69,35.09,54.17,62.05
85,Ecuador,43.53,11.5,27.19,43.27,28.5,45.85
86,South Africa,43.5,14.62,28.77,36.89,42.81,142.4
87,Kenya,43.47,11.58,27.21,43.37,33.06,35.17
88,Iran,43.06,18.73,30.66,40.69,40.67,48.78
89,Thailand,42.75,13.58,27.87,46.91,23.76,57.34
90,Czech Republic,42.69,12.64,27.37,35.85,31.43,98.81
91,Azerbaijan,42.2,19.13,30.43,33.29,43.17,44.13
92,Peru,41.88,13.49,27.4,39.53,31.31,41.3
93,Hungary,41.75,7.92,24.5,31.34,35.33,66.35
94,Malaysia,41.72,9.93,25.51,40.59,24.59,103.75
95,Montenegro,40.36,7.87,23.79,30.75,41.39,59.74
96,Poland,39.62,11.75,25.41,29.89,36.54,90.97
97,Sri Lanka,39.56,9.72,24.34,46.78,24.1,35.41
98,Vietnam,39.22,12.23,25.46,36.88,20.9,30.23
99,Uganda,39.02,5.41,21.88,35.05,23.5,26.33
100,Bolivia,38.51,9.19,23.56,30.84,25.56,56.83
101,Libya,38.38,13.06,25.47,37.36,38.72,71.14
102,Armenia,38.3,8.78,23.25,29.94,35.7,39.51
103,Mexico,38.07,9.31,23.4,36.62,34.23,91.36
104,Romania,36.86,7.87,22.08,30.2,33.96,61.17
105,Bangladesh,36.76,4.45,20.29,35.63,25.49,46.72
106,Bosnia And Herzegovina,36.24,5.89,20.76,30.51,26.68,64.94
107,Bulgaria,36.13,6.92,21.23,30.26,30.05,58.73
108,Philippines,36.05,5.88,20.67,36.78,21.31,50.32
109,Indonesia,35.88,10.11,22.74,38.83,20.95,37.47
110,Colombia,35.42,9.51,22.21,29.85,27.59,50.03
111,Serbia,35.42,5.93,20.38,27.17,30.18,55.93
112,Egypt,35.32,8.97,21.88,30.62,32.89,40.81
113,Morocco,34.56,8.89,21.47,28.92,27.13,55.7
114,Syria,34.44,8.44,21.18,29.9,29.06,33.02
115,Albania,33.86,6.19,19.75,26.44,28.89,46.01
116,Macedonia,31.66,5.18,18.15,26,24.32,50.06
117,Tunisia,31.15,6.7,18.68,27.42,22.9,54.64
118,Ukraine,30.75,8.39,19.34,23.66,27.6,32.72
119,Georgia,30.37,10.29,20.13,23.93,30.42,36.92
120,Kosovo (Disputed Territory),30.35,8.65,19.29,25.02,24.57,64.6
121,Algeria,28.55,6.49,17.3,26.91,23.24,55.32
122,Pakistan,27.77,4.22,15.76,26.21,23.87,46.39
123,Nepal,27.53,2.75,14.9,25.86,16.74,29.86
124,Moldova,27.43,6.44,16.73,21.64,24.52,32.75
125,India,24.85,5.27,14.87,26.36,16.43,99.29